,I_XT,I_TY,Layer,Epochs
500,6.920686902313136,0.6931469493594913,1,125
501,6.488831984374396,0.619792224763263,2,125
502,3.3876540056438897,0.5632799930198318,3,125
503,1.913552192151599,0.542393651891432,4,125
504,6.920686902313136,0.6931469493594913,1,126
505,6.5010741377282395,0.6184897288189299,2,126
506,3.415275874804865,0.5606228330410712,3,126
507,1.9214352538352435,0.5382737836913106,4,126
508,6.920686902313136,0.6931469493594913,1,127
509,6.496905275274817,0.6194130950623833,2,127
510,3.3922386136237734,0.5629749668206355,3,127
511,1.9242946133040328,0.5342999046875303,4,127
512,6.920686902313136,0.6931469493594913,1,128
513,6.490972747302105,0.6220737884558758,2,128
514,3.3977265874381697,0.5656334340062328,3,128
515,1.92879945899744,0.5330452248291693,4,128
516,6.920686902313136,0.6931469493594913,1,129
517,6.487499935854946,0.6231965810729598,2,129
518,3.395755351885449,0.566211405743415,3,129
519,1.9299251338980368,0.5325829470592948,4,129
520,6.920686902313136,0.6931469493594913,1,130
521,6.488667137619393,0.6232923070725324,2,130
522,3.3939661736753957,0.5701452469592775,3,130
523,1.9408999736079628,0.5360199339559024,4,130
524,6.920686902313136,0.6931469493594913,1,131
525,6.49782642576819,0.619098447224014,2,131
526,3.384808317874689,0.5724877538287089,3,131
527,1.9401360860060919,0.5437432226626856,4,131
528,6.920686902313136,0.6931469493594913,1,132
529,6.502165568904588,0.6169172832953315,2,132
530,3.4022799659064344,0.5752871434836324,3,132
531,1.9653829921908288,0.5512654082643302,4,132
532,6.920686902313136,0.6931469493594913,1,133
533,6.508503471674112,0.6166438579021779,2,133
534,3.440042319133266,0.5748141059467395,3,133
535,1.989389192924222,0.5626769725559749,4,133
536,6.920686902313136,0.6931469493594913,1,134
537,6.516253822054596,0.6153313933157335,2,134
538,3.464712109267668,0.5800556404019265,3,134
539,2.0080552274873384,0.5716362890947113,4,134
540,6.920686902313136,0.6931469493594913,1,135
541,6.511304712814095,0.6171387852377584,2,135
542,3.478381873048061,0.5814570769827058,3,135
543,2.0155855698982026,0.5808770691955271,4,135
544,6.9193854882554096,0.6918455353017654,1,136
545,6.507693167428295,0.613379180799188,2,136
546,3.488546842846893,0.5816156566558874,3,136
547,2.037200781354929,0.562015980329229,4,136
548,6.9193854882554096,0.6918455353017654,1,137
549,6.501463000991363,0.6138511489192632,2,137
550,3.4921199831226692,0.579091645997634,3,137
551,2.0447844599468055,0.5624378929808547,4,137
552,6.9193854882554096,0.6918455353017654,1,138
553,6.488267923743148,0.6130368554632343,2,138
554,3.4910197665750275,0.5716607223821607,3,138
555,2.066369166183967,0.5531352843131508,4,138
556,6.9193854882554096,0.6918455353017654,1,139
557,6.492233007946165,0.6215206307222623,2,139
